target,llm_acc,llm_f1,rf_acc,rf_f1
P1_1,0.13333333333333333,0.11191819597908324,0.245,0.11771729287540109
P6A,0.21,0.17840518522691898,0.33,0.1794005994005994
P6B,0.17666666666666667,0.12687608896531202,0.725,0.1681159420289855
P6C,0.20666666666666667,0.18746550721667746,0.4,0.22662615399188288
P6D,0.21833333333333335,0.20190384398527764,0.275,0.21503649274263967
P6E,0.21,0.17284921561150923,0.495,0.20361923448254388
